,Call Strike,OI of Call,Change_oi in Call,Call ltp,Put Strike,OIPut,Change_oi in Put,Put ltp,Cost,Cost Per Lot,Arbitrage Diff,Arbitrage percent in Spot,Arbitrage percent in Cost
60,45900.0,1876100.0,583675.0,9.6,45400.0,1194400.0,265575.0,275.05,284.65000000000003,7116.250000000001,-784.6500000000015,-1.736491099556392,-2.7565431231336777
61,45500.0,6027700.0,2723900.0,45.5,44800.0,3248775.0,820475.0,39.7,85.2,2130.0,-785.1999999999971,-1.7377082920686566,-9.21596244131452
62,45600.0,3584900.0,1722975.0,29.2,44900.0,3096150.0,1801275.0,56.85,86.05,2151.25,-786.0499999999956,-1.739589407769441,-9.134805345729177
63,45000.0,2440075.0,1173100.0,276.9,44500.0,4072275.0,646925.0,15.25,292.15,7303.749999999999,-792.1500000000015,-1.7530891792692231,-2.7114495978093496
64,45400.0,4535250.0,2639075.0,69.9,44700.0,2593750.0,641550.0,28.35,98.25,2456.25,-798.25,-1.7665889507689891,-8.12468193384224
65,45700.0,3450825.0,1492750.0,18.95,45000.0,7724850.0,4165800.0,81.3,100.25,2506.25,-800.25,-1.7710151053590775,-7.982543640897756
66,45900.0,1876100.0,583675.0,9.6,45300.0,2801750.0,573900.0,210.05,219.65,5491.25,-819.6500000000015,-1.813948804882937,-3.731618483951748
67,45100.0,2374975.0,1930075.0,209.0,44500.0,4072275.0,646925.0,15.25,224.25,5606.25,-824.25,-1.824128960440137,-3.6755852842809364
68,45300.0,5254300.0,3348375.0,105.3,44600.0,2667550.0,780250.0,20.15,125.44999999999999,3136.2499999999995,-825.4500000000044,-1.8267846531941996,-6.5799123156636465
69,45800.0,2359900.0,438450.0,13.05,45100.0,4001700.0,2254300.0,113.15,126.2,3155.0,-826.2000000000044,-1.8284444611654829,-6.546751188589575
70,45900.0,1876100.0,583675.0,9.6,45200.0,5573200.0,3331225.0,155.75,165.35,4133.75,-865.3499999999985,-1.915086437266448,-5.233444209253091
71,45200.0,5808700.0,4299350.0,150.55,44500.0,4072275.0,646925.0,15.25,165.8,4145.0,-865.8000000000029,-1.9160823220492278,-5.221954161640548
72,45600.0,3584900.0,1722975.0,29.2,44800.0,3248775.0,820475.0,39.7,68.9,1722.5000000000002,-868.8999999999942,-1.922942861663845,-12.611030478954921
