,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
144,2024-05-17 11:39:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.35,424.05,414.35,416.85,22770,1187490,144
145,2024-05-17 11:40:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,417.55,427.65,416.65,427.65,25965,1187490,145
146,2024-05-17 11:41:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,426.95,438,423.8,435,39675,1187490,146
147,2024-05-17 11:42:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,434.55,434.55,421.65,427.15,19680,1177410,147
148,2024-05-17 11:43:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,426,436.2,424.75,427.15,24600,1177410,148
149,2024-05-17 11:44:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,424.8,433.45,424.8,433.45,27765,1177410,149
150,2024-05-17 11:45:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,433.1,437.9,431.75,435.8,32820,1181715,150
151,2024-05-17 11:46:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,434.05,442.95,427.65,429.3,57690,1181715,151
152,2024-05-17 11:47:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,428.95,437.85,428.5,432.8,39840,1181715,152
153,2024-05-17 11:48:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,431.7,435,424.95,427.1,20265,1173690,153
154,2024-05-17 11:49:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,428.75,438.8,428.75,438.8,20445,1173690,154
155,2024-05-17 11:50:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,437.75,438.8,430.1,438.55,26820,1173690,155
156,2024-05-17 11:51:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,438.5,445.25,437.35,437.35,45315,1168095,156
157,2024-05-17 11:52:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,436.75,455.7,436.75,453.1,71040,1168095,157
158,2024-05-17 11:53:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,453.9,464.1,451.15,464.1,83220,1168095,158
159,2024-05-17 11:54:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,470.7,473.55,460.3,464.75,98655,1140840,159
160,2024-05-17 11:55:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,465.05,474.55,447.45,453.9,95910,1140840,160
161,2024-05-17 11:56:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,457.75,462.65,450.8,451.2,33510,1140840,161
162,2024-05-17 11:57:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,452.4,454,441.3,444,39000,1117170,162
163,2024-05-17 11:58:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,445.3,453.3,445.3,447.6,28830,1117170,163
164,2024-05-17 11:59:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,447.9,459.35,444,457.5,39810,1117170,164
165,2024-05-17 12:00:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,458.8,458.8,446.75,455.95,34860,1108785,165
166,2024-05-17 12:01:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,455.8,455.8,433.05,433.05,48465,1108785,166
167,2024-05-17 12:02:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,432.65,433.75,415.15,426.5,72510,1108785,167
168,2024-05-17 12:03:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,425.95,432.25,423.55,431.9,34770,1088220,168
169,2024-05-17 12:04:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,431.7,437.4,430.2,434.55,29805,1088220,169
170,2024-05-17 12:05:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,434.2,436.1,422.5,428.85,44445,1088220,170
171,2024-05-17 12:06:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,431.4,434.65,425,428.95,29700,1089195,171
172,2024-05-17 12:07:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,426.1,430.7,423.4,424.35,19140,1089195,172
173,2024-05-17 12:08:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,423.9,427.9,420.65,425.1,19560,1089195,173
174,2024-05-17 12:09:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,424.45,440,424.1,436,40905,1080135,174
175,2024-05-17 12:10:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,439.35,440.4,427,428.4,34125,1080135,175
176,2024-05-17 12:11:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,428.1,428.1,412.3,412.35,52215,1080135,176
177,2024-05-17 12:12:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,419.05,419.75,406.9,412.8,47580,1093425,177
178,2024-05-17 12:13:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,413,419.9,406,406,29355,1093425,178
179,2024-05-17 12:14:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,402.7,405.7,374.15,378,161430,1093425,179
180,2024-05-17 12:15:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,381.7,391.35,381.25,388.4,75045,1122015,180
